,,Aloe,,,Aloe,,,Aloe,,,Baby1,
,,Illum1,,,Illum2,,,Illum3,,,Illum1,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
SemiGlob-int16HDR,,25.6976,,,24.576,,,25.7521,,,31.0602,
SemiGlob-HDR,,25.6981,,,24.5632,,,25.7534,,,31.0712,
SemiGlob-LDR,25.0211,19.5558,18.5555,23.3308,19.2169,18.3614,25.0355,20.468,19.2431,29.8626,19.8844,16.6329
,,Baby1,,,Baby1,,,Cloth3,,,Cloth3,
,,Illum2,,,Illum3,,,Illum1,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
SemiGlob-int16HDR,,28.4684,,,28.0146,,,11.6647,,,8.1422,
SemiGlob-HDR,,28.4723,,,27.9715,,,11.2368,,,7.7316,
SemiGlob-LDR,26.6789,17.4644,15.4227,25.9842,16.9775,14.9178,11.4334,7.7863,7.0369,7.5254,6.9861,7.2694
,,Cloth3,,,Midd1,,,Midd2,,,Monopoly,
,,Illum3,,,Illum2,,,Illum2,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
SemiGlob-int16HDR,,8.2729,,,14.7911,,,14.0629,,,17.7825,
SemiGlob-HDR,,7.8652,,,14.7794,,,14.059,,,17.8097,
SemiGlob-LDR,7.6022,7.0145,7.372,23.3308,11.49,50.2709,12.6123,10.7588,57.6306,14.8002,14.1561,39.4134
,,Reindeer,,,Rocks1,,,Rocks1,,,Rocks1,
,,Illum1,,,Illum1,,,Illum2,,,Illum3,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
SemiGlob-int16HDR,,28.6534,,,19.0506,,,17.8385,,,15.4882,
SemiGlob-HDR,,28.6551,,,19.0521,,,17.846,,,15.4912,
SemiGlob-LDR,27.619,21.7317,21.5128,18.6442,9.8143,7.4289,16.7113,8.9711,7.6411,14.1115,8.9657,7.7281
,,Rocks2,,,Rocks2,,,Rocks2,,,Wood1,
,,Illum1,,,Illum2,,,Illum3,,,Illum2,
,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2,Exp0,Exp1,Exp2
SemiGlob-int16HDR,,10.9569,,,12.6579,,,8.5416,,,45.1112,
SemiGlob-HDR,,10.9581,,,12.6551,,,8.5396,,,44.875,
SemiGlob-LDR,10.6543,5.5585,4.1695,13.6324,5.4548,3.9418,7.8741,4.7667,3.8864,39.8532,16.6652,12.0399
